GHCN_ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN,(US)HCN_(US)CRN,WMO_ID,ICAO,ISO_CODE
INMU0020423,22.43,77.73,302.0,,HOSHANGABAD INDIA,,,20423,,IN
INMU0020425,23.17,79.95,393.0,,JUBBULPORE INDIA,,,20425,,IN
INMU0020429,22.77,81.9,622.0,,PENDRA INDIA,,,42779,,IN
INMU0020433,19.08,82.03,553.0,,JAGDALPUR INDIA,,,43041,,IN
INMU0020436,19.27,84.88,17.0,,GOPALPUR INDIA,,,43049,,IN
INMU0020438,21.5,86.93,20.0,,BALASORE INDIA,,,42895,,IN
INMU0020446,24.05,84.07,221.0,,DALTONGANJ INDIA,,,42587,,IN
INMU0020447,24.27,87.25,149.0,,NAYA DUMKA INDIA,,,42599,,IN
INMU0020448,24.75,84.95,111.0,,GAYA INDIA,,,,VEGY,IN
INMU0020449,25.77,87.47,38.0,,PURNEA INDIA,,,20449,,IN
INMU0020452,27.05,88.27,2265.0,,DARJEELING INDIA (DARJILING),,,42295,,IN
INMU0020455,23.68,86.98,126.0,,ASANSOL INDIA,,,20455,,IN
INMU0020460,22.53,88.33,6.0,,CALCUTTA INDIA,,,42807,,IN
INMU0020467,25.25,91.73,1313.0,,CHERRAPUNJI INDIA,,,42515,,IN
INMU0020468,25.57,91.88,1500.0,,SHILLONG INDIA,,,42516,,IN
INMU0020470,26.18,91.75,55.0,,GUAHATI INDIA,,,20470,,IN
INMU0020498,11.67,92.72,80.0,,PORT BLAIR ANDAMAN ISLANDS,,,43333,,IN
INMU0020501,23.25,69.8,105.0,,BHUJ INDIA,,,20501,,IN
INMU0020504,20.88,70.43,8.0,,VERAVAL INDIA,,,42909,,IN
INMU0020507,23.03,72.58,50.0,,AHMEDBABAD INDIA,,,,VAAH,IN
INMU0020512,19.08,74.92,657.0,,AHMADNAGAR INDIA,,,20512,,IN
INMU0020514,17.67,75.9,479.0,,SHOLAPUR INDIA,,,,VASL,IN
INMU0020515,16.82,74.68,554.0,,MIRAJ INDIA,,,43158,,IN
INMU0020517,15.85,74.52,781.0,,BELGAUM INDIA,,,43197,,IN
INMU0020518,15.42,75.63,650.0,,GADAG INDIA,,,43201,,IN
INMU0020521,16.98,73.3,64.0,,RATNAGIRI INDIA,,,,VARG,IN
INMU0020523,14.28,74.45,26.0,,HONAVAR INDIA,,,43226,,IN
INMU0020524,14.23,76.45,733.0,,CHITALDRUG INDIA,,,43233,,IN
INMU0020525,12.97,77.58,921.0,,BANGALORE INDIA,,,43295,,IN
INMU0020530,9.97,76.23,3.0,,COCHIN INDIA,,,43351,,IN
INMU0020531,8.48,76.95,61.0,,TRIVANDRUM INDIA,,,43371,,IN
INMU0020536,11.77,79.77,12.0,,CUDDALORE INDIA,,,43329,,IN
INMU0020546,15.83,78.07,281.0,,KURNOOL INDIA,,,43213,,IN
INMU0020548,14.45,79.98,20.0,,NELLORE INDIA,,,43245,,IN
INMU0020550,16.95,82.22,8.0,,COCANADA INDIA,,,43189,,IN
INMU0020551,17.7,83.3,38.0,,VIZAGAPATAM INDIA,,,20551,,IN
INMU0020554,19.88,75.33,581.0,,AURANGABAD INDIA,,,43013,,IN
INMU0020560,17.37,78.45,542.0,,BEGUMPET INDIA,,,,VOHY,IN
INMU0020569,8.3,73.0,3.0,,MINICOY ISLAND LACCADIVE IS,,,20569,,IN
INMU0022075,24.58,73.7,587.0,,UDAIPAR RAJPUTANA INDIA,,,42543,,IN
INMU0022081,30.45,78.08,2115.0,,MUSSOORIE INDIA,,,42112,,IN
INMU0022185,20.85,88.25,9.0,,SANDHEADS INDIA,,,42977,,IN
INMU0022226,16.38,73.37,1.0,,DEVGAD INDIA (DEVGARH),,,22226,,IN
INMU0029561,18.62,79.37,224.0,,PEDDAPALLI INDIA,,,29561,,IN
INU042071-1,31.63,74.87,234.0,,AMRITSAR,,,,,IN
INU042123-1,29.92,73.92,177.0,,GANGANAGAR,,,42123,,IN
INU042361-1,26.23,78.25,207.0,,GWALIOR,,,,,IN
INU042410-1,26.1,91.58,54.0,,GAUHATI,,,,VEGT,IN
INU042452-1,25.15,75.85,274.0,,KOTAAERODROME,,,,VIKO,IN
INU042475-1,25.45,81.73,98.0,,ALLAHABAD/BAMHRAULI,,,,VEAB,IN
INU042542-1,24.62,73.88,514.0,,UDAIPURDABOK,,,,VAUD,IN
INU042623-1,24.67,93.9,774.0,,IMPHAL,,,,,IN
INU042634-1,23.25,69.67,80.0,,BHUJ-RUDRAMATA,,,,VABJ,IN
INU042754-1,22.72,75.8,567.0,,INDORE,,,,VAID,IN
INU042809-1,22.65,88.45,6.0,,CALCUTTA/DUMDUM,,,,VECC,IN
INU042840-1,21.2,72.83,12.0,,SURAT,,,42840,,IN
INU042886-1,21.92,84.08,230.0,,JHARSUGUDA,,,,VEJH,IN
INU042921-1,20.0,73.78,559.0,,ASIKCITY,,,,,IN
INU043086-1,18.77,79.43,156.0,,RAMGUNDAM,,,43086,,IN
INU043237-1,14.58,77.63,364.0,,PBOANANTAPUR,,,43237,,IN
INU043284-1,12.92,74.88,102.0,,MANGALORE/BAJPE,,,,VOML,IN
INU043346-1,10.92,79.83,7.0,,KARAIKAL,,,43346,,IN
INU23-00002,25.5,81.9,98.0,,ALLAHABAD,,,,,IN
INU55-00051,8.13,93.5,79.0,,CAMORTA,,,,,IN
INU55-00062,21.0,88.5,-999.9,,MUTLAH,,,,,IN
INU55-00064,21.0,88.25,-999.9,,MUTLAH,,,,,IN
INU55-00066,21.58,88.02,-999.9,,MUTLAH,,,,,IN
INU55-00069,9.25,79.33,10.0,,PAMBEN,,,,,IN
INU55-00071,34.17,77.58,3256.0,,LEH,,,,,IN
INU55-00072,32.97,77.05,3080.0,,KEYLONG,,,,,IN
INU55-00075,22.37,74.84,615.0,,MHOW,,,,,IN
INU55-00076,22.19,74.75,212.0,,MUNDLEYSIR,,,,,IN
INU55-00078,8.3,73.15,1.0,,MINICOY,,,,,IN
INU60-00023,21.15,88.34,6.0,,CALCUTTA,,,,,IN
INU00042314,27.48,95.02,110.0,,DIBRUGARH INDIA (MOHANBARI),,,,,IN
INU00042623,24.77,93.9,781.0,,IMPHAL INDIA (TULIHAL),,,,,IN
INU00042727,23.73,92.72,1096.0,,AIJAL INDIA,,,,,IN
INU00042410,26.1,91.58,54.0,,GAUHATI INDIA,,,,,IN
INU00042809,22.65,88.45,10.0,,CALCUTTA INDIA (DUM DUM),,,,,IN
INU00042398,26.63,88.32,131.0,,SILIGURI INDIA (BAGHDORGA),,,,,IN
INU00042498,25.23,86.95,48.0,,BHAGALPUR INDIA,,,,,IN
INU00042971,20.25,85.83,45.0,,BHUBANESHWAR INDIA,,,,,IN
INU00042492,25.6,85.1,59.0,,PATNA INDIA,,,,,IN
INU00042886,21.92,84.08,229.0,,JHARSUGUDA INDIA,,,,,IN
INU00043149,17.72,83.27,3.0,,VISHAKHAPATNAM INDIA,,,,,IN
INU00042475,25.45,81.73,97.0,,ALLAHABAD INDIA (BAMHRAULI),,,,,IN
INU00020405,27.57,81.6,124.0,,BAHRAICH INDIA,,,,,IN
INU00042369,26.75,80.88,127.0,,LUCKNOW INDIA (AMAUSI),,,,,IN
INU00042571,24.57,80.83,317.0,,SATNA INDIA,,,,,IN
INU00020407,26.47,80.35,125.0,,CAWNPORE INDIA (KANPUR),,,,,IN
INU00043279,13.0,80.18,15.0,,MADRAS INDIA (MINAMBAKKAM),,,,,IN
INU00042675,23.17,79.95,392.0,,JABALPUR INDIA,,,,,IN
INU00042147,29.47,79.65,2310.0,,MUSTESWAR INDIA,,,,,IN
INU00042867,21.1,79.05,310.0,,NAGPUR INDIA (SONEGAON),,,,,IN
INU00043344,10.77,78.72,88.0,,TIRUCHCHIRAPPALLI INDIA,,,,,IN
INU00043128,17.45,78.47,544.0,,BEGUMPET INDIA (HYDERABAD),,,,,IN
INU00043129,17.37,78.45,541.0,,HYDERABAD INDIA (BEGUMPET),,,,,IN
INU00042361,26.23,78.25,206.0,,GWALIOR INDIA,,,,,IN
INU00043237,14.68,77.62,349.0,,ANANTAPUR INDIA,,,,,IN
INU00043339,10.23,77.47,2343.0,,KODAIKANAL INDIA,,,,,IN
INU00042667,23.28,77.35,523.0,,BHOPAL INDIA (BAIRAGARH),,,,,IN
INU00042078,31.72,76.97,761.0,,MANDI INDIA,,,,,IN
INU00042080,31.25,76.67,587.0,,BILASPUR INDIA,,,,,IN
INU00020367,30.93,75.87,247.0,,LUDHIANA INDIA,,,,,IN
INU00042451,25.18,75.85,256.0,,KOTA INDIA,,,,,IN
INU00042348,26.82,75.8,390.0,,JAIPUR INDIA (SANGANER),,,,,IN
INU00042754,22.72,75.8,567.0,,INDORE INDIA,,,,,IN
INU00020415,24.47,74.9,495.0,,NEEMUCH INDIA,,,,,IN
INU00020388,29.92,73.88,176.0,,SRI GANGANAGAR INDIA,,,,,IN
INU00020393,25.05,73.88,573.0,,RAJ SAMAND INDIA,,,,,IN
INU00042123,29.92,73.88,176.0,,GANGANAGAR INDIA,,,,,IN
INU00042543,24.58,73.7,582.0,,UDAIPUR INDIA,,,,,IN
INU00043193,15.87,73.63,8.0,,VENGURLA INDIA,,,,,IN
INU00043003,19.12,72.85,14.0,,BOMBAY INDIA (SANTACRUZ AERODROME),,,,,IN
INU00042647,23.07,72.63,55.0,,AHMADABAD INDIA,,,,,IN
INU00020505,21.75,72.2,16.0,,BHAVNAGAR INDIA,,,,,IN
INU00042737,22.3,70.78,137.0,,RAJKOT INDIA,,,,,IN
INU00042634,23.25,69.67,80.0,,BHUJ INDIA,,,,,IN
INU00043541,34.32,75.32,2514.0,,SONAMERG KASHMIR,,,,,IN
INU00043604,32.75,74.92,291.0,,JAMMU KASHMIR,,,,,IN
INU00048109,14.12,93.37,3.0,,COCO ISLAND INDIAN OCEAN IS,,,,,IN
INU00043351,9.97,76.23,3.0,,FORT COCHIN INDIA,,,,,IN
INU00020522,15.42,73.78,61.0,,MARMAGAO PORT GOA (MORMUGAO) (MARMAGOA),,,,,IN
INU00042909,20.9,70.37,7.0,,VERAVAL INDIA,,,,,IN
INU00000057,9.17,92.83,9.0,,CAR NICOBARS,,,,,IN
